business_id,name,category,rating,price,address,latitude,longitude,reviews
LuPK46HMxRYEVTXVbBCR1g,Sama Sama Kitchen,"['Cocktail Bars', 'Asian Fusion']",4.0,$$,"1208 State St Santa Barbara, CA 93101",34.42382,-119.70453,"[""Food is good like always but was disappointed to see they included a 18% gratuity for dining in but also request a tip as well. I apologize but I'm not..."", 'Food was good, service good and ambience as well. We asked for more chips and had to pay for them!!?', 'We apparently missed posting our draft review of our experience here a few years ago at the start of Covid when we had takeout during lockdown. At the time...']"
CoZ2mpsMBP8HUG1ymKoZTg,Opal Restaurant & Bar,"['Bars', 'Seafood', 'Steakhouses']",4.0,$$,"1325 State St Santa Barbara, CA 93101",34.4247245788574,-119.706764221191,"['Delicious! My husband and I are in town for a quick getaway. We decided to stroll down State Street to find a place for dinner.  We checked out the menu at...', 'A great place for a date! My boyfriend took me here for our first date and it was so great.\n\nThe waitress was friendly, the food was delicious (classic...', 'Everyone in my party loved what they ordered. Fantastic menu - it was hard to decide! Great service too! Upscale restaurant with reasonable prices. \n\nWe...']"
bPVPZeqMuYtU_yGCb4P-jg,Empty Bowl Gourmet Noodle Bar,"['Thai', 'Noodles']",4.5,$$,"38 W Victoria St Ste 109 Santa Barbara, CA 93101",34.4236075,-119.70702420000585,"[""A good friend of mine introduced me to Empty Bowl and it's my favorite place to go to for comfort food.\nIt's such a popular spot at the market place but it..."", 'This restaurant is in public market. \nPad thai was great but I love Hangover noodle. \nCurry noodle was a little oily.', 'The food here is some of the most delicious Thai food that I have tasted. A little pricy but still worth it. The Bangkok street noodles are extremely...']"
E_ac8Q20OJD9L8cafCBKaQ,Milk & Honey Tapas,"['Tapas Bars', 'Cocktail Bars']",4.0,$$,"30 W Anapamu St Santa Barbara, CA 93101",34.42257,-119.7054592,"['Outstanding experience!!\n\nService was great, Ambiance was fantastic, and Food was outrageously good. Dimly lit with old school cartoons playing at the bar...', 'Dinner in Santa Barbara and we felt like having a a number of flavors to enjoy through the evening, so tapas was the perfect was to do so.\n\nHappy hour was...', 'Been coming here since I moved downtown (and down the street) in 2015! This was my go-to place for a solid few years after moving, and then for a few years...']"
4D7QDfPOsSPfKxBi3gs_qQ,Olio Pizzeria,"['Italian', 'Pizza', 'Bars']",4.0,$$,"11 W Victoria St Ste 21 Santa Barbara, CA 93101",34.4238417,-119.7060091,"['For those Korean people, this place is JMT. Trust me.\nPeople who work here are kind and nice, food is really good, and even the restroom is clean.', ""A one star review is quite generous for our experience. Long time customers of Olio here, and we've loved their food for ages. We picked this for our post..."", 'Great server. Yummy asparagus appetizer. Nice wine list. Pizza always crispy and flavorful.']"
U2hkeMI-q4cS35QolJYN0A,Arigato Sushi,"['Japanese', 'Sushi Bars']",4.0,$$,"1225 State St Santa Barbara, CA 93101",34.4238014221191,-119.70548248291,"['Creative, Healthy, and Delicious Cuisine. In a Perfect Environment!\n\nGreat dining experience! Wonderful, down-to-earth, and appreciative staff and ownership!', 'My favorite dish was definitely Locals Only! The crab and scallop combo with the rice was a match made in heaven, and the presentation with fire was a fun...', 'Cute decor. Friendly staff. \n\nRecommended: \nHokkaido Scallops sashimi \nChu Toro Nigiri \nYellowtail sashimi \nOyster Shooter - 1st round was good, 2nd round...']"
thlyktt2c7v1DyOpSVSibw,Scarlett Begonia,"['Breakfast & Brunch', 'Beer, Wine & Spirits', 'American (Traditional)']",4.0,$$,"21 W Victoria St Santa Barbara, CA 93101",34.423546381706814,-119.70629331243836,"['Scarlett Begonia is hands down my new favorite place for brunch. I give credit to my son for choosing this restaurant. He wanted to try their lemon ricotta...', ""Super cute brunch place in downtown Santa Barbara! I've come here a couple of times for a nice breakfast and brunch with family. The restaurant interior has..."", 'Another over rated high priced place in Santa Barbara. There is so much potential but it just falls short with a high price tag.\n\nWe started with the...']"
4FdsX3MbkcdBRAr1aymF6A,La Paloma Cafe,"['Cocktail Bars', 'Mexican', 'Breakfast & Brunch']",4.5,$$$,"702 Anacapa St Santa Barbara, CA 93101",34.420021,-119.696867,"[""I've been to La Paloma many times, mostly for dinner but also for brunch. I love it EVERY time and can't believe I haven't reviewed before today!\n\nFirst of..."", ""I don't every write reviews, but this was exceptional. I came here for the first time today with my mom to celebrate a recent achievement. This was an..."", 'Seriously an exceptional meal! We started off at their bar which had the most beautiful wall art and vintage decor. The bartenders were especially nice and...']"
aFhPwy7OhyKah4cJY2QdEQ,Stonehouse Restaurant,"['American (New)', 'Seafood', 'Steakhouses']",4.5,$$$$,"900 San Ysidro Ln San Ysidro Ranch Santa Barbara, CA 93108",34.446845,-119.623092,"['The other reviews go on and on about the setting. They\'re not wrong, it\'s spectacular. But some of the reviews talk about ""bland"" food. Not in my...', 'Our cohort of foodies were pretty happy with the food but I think the service and ambiance of this place almost overwhelms the food...almost :) The location...', 'Update -stellar evening at Stonehouse last night. Definitely ""A"" game. Service s always impeccable. Food spot on. I love there are never any ""surprises""...']"
fiQxkb1pfPpvrr0oYYYBcA,The Daisy Restaurant,"['Farmers Market', 'American (New)', 'Vegan']",5.0,$$,"1221 State St Santa Barbara, CA 93101",34.42378716088811,-119.70528077466892,"[""The Daisy is a must if in Santa Barbara! the food and service is incredibIe! love the blt or the falafel plate, but you can't go wrong! love love love"", ""I've had The Daisy bookmarked since it opened, and my only regret is not coming here sooner! The whole layout of this place is so cute and inviting from the..."", ""I mean, this place is fantastic. First of all, it's convenient!  It has parking right behind the restaurant. It also has lots of indoor and outdoor seating...""]"
PPcz-0UtIJ8O7xDT551y2g,Intermezzo By Wine Cask,"['American (New)', 'Cocktail Bars']",4.5,$$,"819 Anacapa St Santa Barbara, CA 93101",34.4211464,-119.6988864,"['The details are what make this restaurant exceptional. My husband and I will often sit at the bar here for a casual but delicious meal while we talk with...', 'Birthday diner - boy how disappointing - this place was recommended  - First of all we tried Open Table to reserve a table - it showed open tables - when we...', 'NYE perfection! We had the beautiful private dining room to ring in the New Year...and boy oh boy, what a special 3 course menu. Our party of 10 tried just...']"
TzNk1TcWLZn0JCpO83hBAA,Stella Mare's,"['French', 'American (New)']",4.5,$$$,"50 Los Patos Way Santa Barbara, CA 93108",34.4221005,-119.6576294,"['What a delightful place. Celebrating Valentines Day early to avoid the crowds, we enjoyed a leisurely gourmet lunch in the atrium, although the outdoor...', ""Stella Mare's is a super cute place to dine at! I decided to be adventurous and try snails (Escargots persillade) for the first time, and I absolutely loved..."", ""Stella Mare's setting is the historical W. H. Johnson house, which was moved here from De La Vina Street in 1962, when it was 90 years old. It sits across...""]"
fKrmWy4GFsrgdOYhN9pyZA,Trattoria Vittoria,['Italian'],4.0,$$,"30 E Victoria St Santa Barbara, CA 93101",34.424871,-119.704733,"[""Love this place, the food, the Italian style interiors, the ambience! Recommendations:\n\n1. Seating: Come early if you don't have a reservation. We came here..."", ""I came here for Valentine's Day around 6PM, I made a reservation a week before. The restaurant is so cute, small and quaint and decorated with flowers and..."", 'Super delicious! \n\nMy date and I had dinner here before we returned home.  We sat at the counter and the bartender/server was fun to chat with. \n\nThe decor...']"
